item_id,cost,item_type
pro_24jnix1s2t,12.3,iced skinny cinnamon dolce latte
pro_o95tu91feg,11.55,iced skinny cinnamon dolce latte frappuccino
pro_x82n8drv3o,10.61,iced skinny cinnamon dolce latte refresher
pro_itdard1gnq,18.65,iced skinny mocha
pro_fzd1m7rx3j,18.17,iced skinny mocha frappuccino
pro_b2aqvzjhtv,26.26,iced skinny mocha refresher
pro_xvw1bduzo8,15.98,iced strawberry acai lemonade refreshers
pro_ovazjtalxz,24.59,iced strawberry acai refreshers beverage
pro_btsya4dc9k,29.36,iced teavana shaken peach citrus white tea infusion
pro_sitir95d3k,9.86,iced teavana shaken peach citrus white tea infusion lemonade
pro_srestbskmt,7.09,iced teavana shaken pineapple black tea infusion
pro_bigdbwae5s,13.75,iced teavana shaken pineapple black tea infusion lemonade
pro_4dg56f7o1p,28.96,iced teavana shaken strawberry green tea infusion
pro_uv68yzst39,24.57,iced teavana shaken strawberry green tea infusion lemonade
pro_tv05vhlyra,16.36,iced toasted white chocolate mocha
pro_5b9vp19p86,7.33,iced toasted white chocolate mocha frappuccino
pro_ylp969917p,12.41,iced toasted white chocolate mocha refresher
pro_22xwqdwv03,27.17,iced vanilla bean coconutmilk latte
pro_vf0vmx63vg,8.85,iced vanilla bean coconutmilk latte frappuccino
pro_i58qvz529j,21.36,iced vanilla bean coconutmilk latte refresher
pro_wekltjzlyh,20.33,iced vanilla latte
pro_tjy3lhwqda,12.76,iced vanilla latte frappuccino
pro_h68y218cbp,19.76,iced vanilla latte refresher
pro_6gw4rth3m3,23.43,iced vanilla sweet cream cold brew
pro_tj1sb0ml5q,6.48,iced very berry hibiscus lemonade refreshers
pro_u6xpcwrj5m,24.93,iced very berry hibiscus refreshers beverage
pro_s5milftthi,16.51,iced violet drink
pro_duh8uzfez0,10.55,iced white chocolate mocha
pro_rup6b1dtvs,18.48,iced white chocolate mocha frappuccino
pro_38edox6j85,6.47,iced white chocolate mocha refresher
pro_pmqehzly8e,26.04,juniper creme frappuccino
pro_m3mos58ttm,29.8,juniper latte
pro_zq3dhivls6,21.94,juniper latte frappuccino
pro_dbgchiuu5a,12.95,juniper latte refresher
pro_vbiopjiplu,27.32,latte macchiato
pro_30m1w0vm4x,12.8,latte macchiato frappuccino
pro_qopgn8wjak,14.04,latte macchiato refresher
pro_dswxm5av5m,28.06,low calorie iced coffee milk
pro_9upidypjj4,20.51,low calorie iced coffee milk frappuccino
pro_yi1nej1j6t,14.5,low calorie iced coffee milk refresher
pro_4g0hnhcdtm,16.05,mango dragonfruit lemonade refreshers beverage
pro_fduvswqd52,22.0,mango dragonfruit lemonade refreshers beverage frappuccino
pro_4ujj91twdz,21.32,mango dragonfruit refreshers beverage
pro_v1iuetr5yd,14.09,mango dragonfruit refreshers beverage frappuccino
pro_mdzanp7e4q,7.99,nitro cold brew
pro_y1qvtqdkn5,15.53,nitro cold brew frappuccino
pro_q0vbnc9fwu,21.75,nitro cold brew refresher
pro_ekzovdyo7e,11.65,nitro cold brew with sweet cream
pro_cseshuhdt9,27.11,nitro cold brew with sweet cream frappuccino
pro_fsfxe2dzsr,13.48,nitro cold brew with sweet cream refresher
pro_f4afbw00x0,10.12,nitro lemon fog
pro_43xa5oxk3r,15.51,nitro lemon fog frappuccino
pro_6cbkuwag0q,10.94,peppermint cocoa frappuccino
pro_8pclvt6ggw,16.37,peppermint mocha
pro_al6o0pox6n,7.22,peppermint mocha frappuccino
pro_kzl70pl2bf,15.94,peppermint mocha refresher
pro_j6brpfonch,23.46,peppermint white chocolate mocha
pro_sbc776vaso,12.06,peppermint white chocolate mocha frappuccino
pro_rp8kg3ebas,29.61,peppermint white chocolate mocha refresher
pro_wpndfde8zi,9.62,peppermint white hot chocolate frappuccino
pro_eyr358t4t0,13.58,pike place roast
pro_qolkhc6yq5,17.3,pike place roast frappuccino
pro_vcxtofb6nh,26.09,pink drink
pro_rij0js1myy,15.87,pink drink frappuccino
pro_j4eno1ihmg,23.39,pink drink refresher
pro_duqb67h1ia,5.38,pumpkin spice chai tea latte
pro_354d9onrkm,5.64,pumpkin spice chai tea latte frappuccino
pro_pokk0dzzom,5.95,pumpkin spice chai tea latte refresher
pro_vukbkzomos,5.58,pumpkin spice creme frappuccino
pro_klwa3wyu1k,10.11,pumpkin spice latte
pro_xlc6mbpt5w,19.9,pumpkin spice latte frappuccino
pro_jwqhdhw76n,24.76,pumpkin spice latte refresher
pro_udzrac0p9w,19.19,refresher mango dragonfruit lemonade refreshers beverage
pro_5nkcohztb6,7.03,refresher mango dragonfruit refreshers beverage
pro_qslku0wovm,22.59,refresher strawberry acai lemonade refreshers
pro_kqo7om2cjp,18.82,refresher strawberry acai refreshers beverage
pro_2r98byy1sq,12.9,refresher very berry hibiscus lemonade refreshers
pro_vrzo2grkhy,9.42,refresher very berry hibiscus refreshers beverage
pro_n7jp2fhvwc,7.03,salted caramel hot chocolate frappuccino
pro_z8btrn13p9,17.37,salted caramel mocha
pro_rgkolybk6l,26.03,salted caramel mocha frappuccino
pro_dtzcbhyxs5,7.52,salted caramel mocha refresher
pro_abl7ztnhet,7.65,shaken sweet tea
pro_gewwwqs2de,11.86,shaken sweet tea frappuccino
pro_jn8dfkwtrn,14.5,skinny mocha
pro_aw4ngfwmvr,29.82,skinny mocha frappuccino
pro_6kg2ay7zo2,18.48,skinny mocha refresher
pro_yf0dd19ucq,25.7,snickerdoodle hot cocoa frappuccino
pro_4y7x7wlxqe,10.64,steamed apple juice frappuccino
pro_jonpwwp6pb,27.75,strawberry acai lemonade refreshers
pro_37809396a6,23.6,strawberry acai lemonade refreshers frappuccino
pro_blogcggp51,13.36,strawberry acai refreshers beverage
pro_c9xvfi9lof,23.86,strawberry acai refreshers beverage frappuccino
pro_olnbr0qyf9,27.16,teavana mango black tea
pro_yph1g143ce,13.99,teavana mango black tea frappuccino
pro_8dyi6efh08,25.79,teavana peach green tea
pro_x805oh4h3x,16.13,teavana peach green tea frappuccino
pro_b5g6w252lb,23.63,teavana pineapple berry iced tea
pro_ghsioylck5,12.36,teavana pineapple berry iced tea frappuccino
pro_xiu5ftp1vw,22.27,teavana shaken iced black tea
pro_6glsny2gt4,26.9,teavana shaken iced black tea frappuccino
pro_99ut63rbji,16.99,teavana shaken iced black tea lemonade
pro_vweq7hwmrz,24.46,teavana shaken iced black tea lemonade frappuccino
pro_pifejwfmi5,18.92,teavana shaken iced green tea
pro_pq55dl1fdh,26.23,teavana shaken iced green tea frappuccino
pro_20vcizlklz,10.93,teavana shaken iced green tea lemonade
pro_sp3ei4bpvx,5.58,teavana shaken iced green tea lemonade frappuccino
pro_ptmqutwpwk,21.76,teavana shaken iced passion tango tea
pro_cr00z16sih,24.43,teavana shaken iced passion tango tea frappuccino
pro_t1xujlrw53,6.96,teavana shaken iced passion tango tea lemonade
pro_km4p3m18r2,21.47,teavana shaken iced passion tango tea lemonade frappuccino
pro_sd9tnsg03m,10.26,teavana shaken iced pia colada tea infusion
pro_6799x76yvk,29.75,teavana shaken iced pia colada tea infusion frappuccino
pro_a1ypiun6uu,24.57,teavana shaken peach citrus white tea infusion
pro_bstc8sorv2,8.87,teavana shaken peach citrus white tea infusion frappuccino
pro_qkbjvqzcvt,16.88,teavana shaken peach citrus white tea infusion lemonade
pro_8oj6wf4zmp,24.69,teavana shaken peach citrus white tea infusion lemonade frappuccino
pro_92wl9yx06s,18.04,teavana shaken pineapple black tea infusion
pro_a22q3y67nz,29.47,teavana shaken pineapple black tea infusion frappuccino
pro_rtg32bluj7,15.82,teavana shaken pineapple black tea infusion lemonade
pro_6fu1iuj2ps,27.17,teavana shaken pineapple black tea infusion lemonade frappuccino
pro_5lxa6m2bkk,7.31,teavana shaken strawberry green tea infusion
pro_4ecr3ukmmc,18.73,teavana shaken strawberry green tea infusion frappuccino
pro_pzndzoummr,29.88,teavana shaken strawberry green tea infusion lemonade
pro_pkza5agnrm,21.96,teavana shaken strawberry green tea infusion lemonade frappuccino
pro_ym9q3qjp7w,8.85,toasted white chocolate cocoa frappuccino
pro_og8roxii67,21.52,toasted white chocolate mocha
pro_w5uvbizto9,15.63,toasted white chocolate mocha frappuccino
pro_uowe7xzhhf,22.6,toasted white chocolate mocha refresher
pro_z70orbyipe,13.79,vanilla bean coconutmilk latte
pro_ywd4sh9qes,17.36,vanilla bean coconutmilk latte frappuccino
pro_pkbe8qowrc,10.43,vanilla bean coconutmilk latte refresher
pro_7xbth1i3ku,9.02,vanilla creme frappuccino
pro_o0zvgdcyux,12.46,vanilla latte
pro_agyel9tl1s,24.4,vanilla latte frappuccino
pro_gdw28pr49k,24.83,vanilla latte refresher
pro_wwlctw86bx,18.59,vanilla sweet cream cold brew
pro_syej2hr2m6,9.67,vanilla sweet cream cold brew frappuccino
pro_arpx3f8yre,25.23,vanilla sweet cream cold brew refresher
pro_k8jrwx56ho,26.67,very berry hibiscus lemonade refreshers
pro_54dnnm4rtx,7.56,very berry hibiscus lemonade refreshers frappuccino
pro_pkv9pcn8sk,15.36,very berry hibiscus refreshers beverage
pro_7nbnzmsnyk,18.77,very berry hibiscus refreshers beverage frappuccino
pro_87d6jwhlrc,25.15,violet drink
pro_dui1o0dzbu,20.8,violet drink frappuccino
pro_rbgtpn5o3g,15.3,violet drink refresher
pro_xqqeau3deu,16.59,white chocolate mocha
pro_ttqi5wtizq,15.73,white chocolate mocha bottled frappuccino
pro_t4ru0zo4sd,8.17,white chocolate mocha frappuccino
pro_gqjnripik0,24.65,white chocolate mocha refresher
